Accel_x,Accel_y,Accel_z
0.055,0.046,1.03
0.07,0.053,1.002
0.076,0.063,0.996
-0.414,0.703,1.004
-0.353,0.662,0.951
-0.16,0.634,1.035
-0.282,0.629,1.031
-0.352,0.585,1.132
-0.366,0.88,1.471
-0.544,1.352,2.04
-1.254,2.601,2.816
-1.772,3,2.954
-1.627,2.605,2.525
-0.718,2.025,2.069
0.334,0.973,1.044
0.255,0.304,0.108
0.946,-0.876,0.167
1.347,-1.844,-0.142
2.955,-3.868,-1.23
2.787,-4.298,-1.325
1.45,-4.134,-0.691
0.359,-2.931,0.613
-0.248,-1.528,1.504
-0.37,-0.952,2.06
-0.068,-1.036,2.736
0.17,-1.613,2.53
0.184,-0.886,1.9
0.184,-0.803,1.501
-0.09,-0.623,1.012
0.188,-0.302,1.035
1.288,0.007,1.275
