Accel_x,Accel_y,Accel_z
0.794,0.414,-0.531
0.803,0.422,-0.525
0.786,0.427,-0.524
0.772,0.423,-0.517
0.77,0.408,-0.515
0.778,0.397,-0.513
0.8,0.394,-0.52
0.815,0.397,-0.528
0.819,0.387,-0.536
0.831,0.376,-0.542
0.833,0.358,-0.55
0.854,0.335,-0.559
0.869,0.328,-0.569
0.882,0.339,-0.572
0.882,0.346,-0.571
0.875,0.353,-0.578
0.862,0.349,-0.588
0.845,0.352,-0.583
0.823,0.358,-0.567
0.819,0.372,-0.55
0.84,0.381,-0.534
0.853,0.399,-0.502
0.847,0.413,-0.467
0.838,0.429,-0.429
0.837,0.449,-0.394
0.836,0.463,-0.366
0.837,0.479,-0.334
0.839,0.497,-0.317
0.832,0.508,-0.306
0.823,0.524,-0.312
0.805,0.537,-0.32
0.783,0.562,-0.323
0.753,0.573,-0.334
